Question,# of respondents ,parent_code_id,# of parent code,% of total interviewees,Parent_code_name,Parent_code_definition,subcode_number,subcode_name,subcode_definition,# subcode respondents ,% of  subcode per parent code respondents,,,,,,,
What additional resources or support services would help your community avoid or respond to these safety and ethical challenges with psychedelic facilitators?,28,Q26c_PC1,40,100.00%,Formal Accountability and Oversight Mechanisms,requested systems and infrastructure for formally vetting facilitators and reporting ethical or safety issues,5,Formal Regulation and Certification,need for a legal framework that would govern who can be a facilitator and what training or certification they need to meet official standards,16,40.00%,,,,,,,
What additional resources or support services would help your community avoid or respond to these safety and ethical challenges with psychedelic facilitators?,28,Q26c_PC1,40,100.00%,Formal Accountability and Oversight Mechanisms,requested systems and infrastructure for formally vetting facilitators and reporting ethical or safety issues,6,Decriminalization and Legal Access,need for policy changes that would make psychedelic use and facilitation legal,20,50.00%,,,,,,,
What additional resources or support services would help your community avoid or respond to these safety and ethical challenges with psychedelic facilitators?,28,Q26c_PC2,40,100.00%,Ethical Guidelines & Codes of Conduct,Establishing shared standards to define facilitator responsibilities and participant protections,1,Clear Codes of Ethics,"Written, standardized ethical guidelines for facilitators",14,35.00%,,,,,,,
What additional resources or support services would help your community avoid or respond to these safety and ethical challenges with psychedelic facilitators?,28,Q26c_PC2,40,100.00%,Ethical Guidelines & Codes of Conduct,Establishing shared standards to define facilitator responsibilities and participant protections,2,Guidelines for Participants,"Manuals on how to choose facilitators, recognize red flags, and know their rights",18,45.00%,,,,,,,
What additional resources or support services would help your community avoid or respond to these safety and ethical challenges with psychedelic facilitators?,28,Q26c_PC2,40,100.00%,Ethical Guidelines & Codes of Conduct,Establishing shared standards to define facilitator responsibilities and participant protections,3,Ethics Education Materials,need for accessible and specific information to help individuals protect themselves,40,100.00%,,,,,,,
"If you could wave a magic wand solve 1-3 safety challenges in your community, what would these challenges be and why?",40,Q27_PC1,38,95.00%,Safe & Legal Access to Substances,"Ensuring psychedelics are legally, safely, and affordably available without stigma",1,Decriminalization and Legal Access,"Ending the drug war to create a safe, legal environment for personal use",18,47.37%,,,,,,,
"If you could wave a magic wand solve 1-3 safety challenges in your community, what would these challenges be and why?",40,Q27_PC1,38,95.00%,Safe & Legal Access to Substances,"Ensuring psychedelics are legally, safely, and affordably available without stigma",2,Policy and Stigma Reform,need to change societal perceptions and government policies that stigmatize drug users and hinder research,24,63.16%,,,,,,,
"If you could wave a magic wand solve 1-3 safety challenges in your community, what would these challenges be and why?",40,Q27_PC1,38,95.00%,Safe & Legal Access to Substances,"Ensuring psychedelics are legally, safely, and affordably available without stigma",3,Safe Supply / Purity,"Guaranteeing substances are uncontaminated, tested, and accurately represented",30,78.95%,,,,,,,
"If you could wave a magic wand solve 1-3 safety challenges in your community, what would these challenges be and why?",40,Q27_PC1,38,95.00%,Safe & Legal Access to Substances,"Ensuring psychedelics are legally, safely, and affordably available without stigma",4,Affordable Access,"Lowering costs of facilitators and therapy, reducing financial barriers",11,28.95%,,,,,,,
"If you could wave a magic wand solve 1-3 safety challenges in your community, what would these challenges be and why?",40,Q27_PC2,38,95.00%,Facilitator Accountability & Ethical Standards,human-centric challenges related to guides and practitioners,1,Vetting & Trusted Lists,"Public, transparent directories of ethical facilitators",14,36.84%,,,,,,,
"If you could wave a magic wand solve 1-3 safety challenges in your community, what would these challenges be and why?",40,Q27_PC2,38,95.00%,Facilitator Accountability & Ethical Standards,human-centric challenges related to guides and practitioners,2,Ethics Committees / Oversight,"Local or regional boards to mediate conflicts, enforce accountability",19,50.00%,,,,,,,
"If you could wave a magic wand solve 1-3 safety challenges in your community, what would these challenges be and why?",40,Q27_PC2,38,95.00%,Facilitator Accountability & Ethical Standards,human-centric challenges related to guides and practitioners,3,Standardized Training & Certification,"Ensuring facilitators are trained in harm reduction, trauma-informed care, crisis response",24,63.16%,,,,,,,
"If you could wave a magic wand solve 1-3 safety challenges in your community, what would these challenges be and why?",40,Q27_PC2,38,95.00%,Facilitator Accountability & Ethical Standards,human-centric challenges related to guides and practitioners,4,Removing Predators / Exploitative Facilitators,Eliminating harmful or narcissistic practitioners from the space,23,60.53%,,,,,,,
"If you could wave a magic wand solve 1-3 safety challenges in your community, what would these challenges be and why?",40,Q27_PC3,40,100.00%,Centralized and Accessible Education,"Providing communities with clear, accessible, and practical knowledge",1,Accurate Substance Information,"Safety profiles, interactions, dosage, risks, and up-to-date drug science",33,82.50%,,,,,,,
"If you could wave a magic wand solve 1-3 safety challenges in your community, what would these challenges be and why?",40,Q27_PC3,40,100.00%,Centralized and Accessible Education,"Providing communities with clear, accessible, and practical knowledge",2,Misinformation Reduction,"Countering hype, taboos, extractive capitalism narratives, and false promises of “quick fixes.”",24,60.00%,,,,,,,
"If you could wave a magic wand solve 1-3 safety challenges in your community, what would these challenges be and why?",40,Q27_PC3,40,100.00%,Centralized and Accessible Education,"Providing communities with clear, accessible, and practical knowledge",3,Integration & Ongoing Support,Providing aftercare and community support for long-term well-being,39,97.50%,,,,,,,
What do you think would be the most helpful solutions for these safety problems?,37,Q28_PC1,29,72.50%,Legal & Policy Reform,Structural legal changes to reduce risks and stigma while enabling safer practices.,1,Decriminalization,Ending criminal penalties for possession/use.,14,48.28%,,,,,,,
What do you think would be the most helpful solutions for these safety problems?,37,Q28_PC1,29,72.50%,Legal & Policy Reform,Structural legal changes to reduce risks and stigma while enabling safer practices.,2,Legalization & Regulation,Creating formal frameworks for safe access and reducing black-market harms.,19,65.52%,,,,,,,
What do you think would be the most helpful solutions for these safety problems?,37,Q28_PC1,29,72.50%,Legal & Policy Reform,Structural legal changes to reduce risks and stigma while enabling safer practices.,3,Government and Regulatory Reform,"need for leadership from governments and agencies (e.g., EU, UN, FDA) to push for reform",10,34.48%,,,,,,,
What do you think would be the most helpful solutions for these safety problems?,37,Q28_PC1,29,72.50%,Legal & Policy Reform,Structural legal changes to reduce risks and stigma while enabling safer practices.,4,Ending the Drug War / Reducing Stigma,Removing systemic barriers that make harm reduction more difficult.,15,51.72%,,,,,,,
What do you think would be the most helpful solutions for these safety problems?,37,Q28_PC2,34,85.00%,Standardized Professionalization,solutions aimed at formalizing the roles of facilitators and creating a system of accountability to protect participants,1,Standardized Training & Certification,"development of accredited or universally recognized training programs to ensure that facilitators, therapists, and volunteers have the necessary skills, knowledge, and ethical grounding to practice safely",13,38.24%,,,,,,,
What do you think would be the most helpful solutions for these safety problems?,37,Q28_PC2,34,85.00%,Standardized Professionalization,solutions aimed at formalizing the roles of facilitators and creating a system of accountability to protect participants,2,Ethical Guidelines / Codes of Conduct,"Clear, enforceable standards for safe practice",21,61.76%,,,,,,,
What do you think would be the most helpful solutions for these safety problems?,37,Q28_PC2,34,85.00%,Standardized Professionalization,solutions aimed at formalizing the roles of facilitators and creating a system of accountability to protect participants,3,Accountability and Review Systems,"creation of formal mechanisms, such as independent review boards or ethics committees, to hold facilitators accountable for their actions and to adjudicate ethical disputes",25,73.53%,,,,,,,
What do you think would be the most helpful solutions for these safety problems?,37,Q28_PC3,40,100.00%,Public Health and Information Infrastructure,"Providing accessible, accurate, and stigma-free information",1,Accessible Substance Testing,widespread availability of drug testing kits or on-site testing services to ensure that substances are pure and unadulterated,24,60.00%,,,,,,,
What do you think would be the most helpful solutions for these safety problems?,37,Q28_PC3,40,100.00%,Public Health and Information Infrastructure,"Providing accessible, accurate, and stigma-free information",2,General Psychedelic Education,"For community members, schools, and the public",34,85.00%,,,,,,,
What do you think would be the most helpful solutions for these safety problems?,37,Q28_PC3,40,100.00%,Public Health and Information Infrastructure,"Providing accessible, accurate, and stigma-free information",3,Targeted Workshops/Seminars,"Training participants on red flags, safe practices, set & setting",25,62.50%,,,,,,,
What do you think would be the most helpful solutions for these safety problems?,37,Q28_PC3,40,100.00%,Public Health and Information Infrastructure,"Providing accessible, accurate, and stigma-free information",4,Wider Dissemination,"Bigger channels, clearinghouses, early education in schools, accurate drug science",25,62.50%,,,,,,,
What do you think would be the most helpful solutions for these safety problems?,37,Q28_PC3,40,100.00%,Public Health and Information Infrastructure,"Providing accessible, accurate, and stigma-free information",5,Accessible Narcan/Overdose Prevention,Making overdose responses common and normalized,6,15.00%,,,,,,,
What do you think would be the most helpful solutions for these safety problems?,37,Q28_PC3,40,100.00%,Public Health and Information Infrastructure,"Providing accessible, accurate, and stigma-free information",6,Gold Standard for Crisis Management,Shared best practices for managing bad trips and adverse events,23,57.50%,,,,,,,
What do you think would be the most helpful solutions for these safety problems?,37,Q28_PC3,40,100.00%,Public Health and Information Infrastructure,"Providing accessible, accurate, and stigma-free information",7,Support Services & Infrastructure,"Building supportive structures to care for people before, during, and after experiences",38,95.00%,,,,,,,
What role would you like your Psychedelic Society to play in improveing psychedelic public health and safety?,39,Q29_PC1,40,100.00%,Education & Public Awareness,"Providing accurate, accessible, and widespread information about psychedelics, risks, and harm reduction",1,Combating Misinformation and Stigma,"role of directly addressing myths, misconceptions, and social stigma around psychedelics and mental health",20,50.00%,,,,,,,
What role would you like your Psychedelic Society to play in improveing psychedelic public health and safety?,39,Q29_PC1,40,100.00%,Education & Public Awareness,"Providing accurate, accessible, and widespread information about psychedelics, risks, and harm reduction",2,Foundational Safety Information,"role of providing clear and reliable information on topics like safe psychedelic use, dosage, set and setting, and contraindications",39,97.50%,,,,,,,
What role would you like your Psychedelic Society to play in improveing psychedelic public health and safety?,39,Q29_PC1,40,100.00%,Education & Public Awareness,"Providing accurate, accessible, and widespread information about psychedelics, risks, and harm reduction",3,School & University Outreach,"Talks and programs in schools, universities, corporations",7,17.50%,,,,,,,
What role would you like your Psychedelic Society to play in improveing psychedelic public health and safety?,39,Q29_PC1,40,100.00%,Education & Public Awareness,"Providing accurate, accessible, and widespread information about psychedelics, risks, and harm reduction",4,Public Talks & Workshops,"Regular events covering safe use, set/setting, dosing, integration, ethics, peer support",28,70.00%,,,,,,,
What role would you like your Psychedelic Society to play in improveing psychedelic public health and safety?,39,Q29_PC1,40,100.00%,Education & Public Awareness,"Providing accurate, accessible, and widespread information about psychedelics, risks, and harm reduction",5,Scientific & Academic Contributions,"Supporting research, hosting university courses, disseminating evidence-based information",10,25.00%,,,,,,,
What role would you like your Psychedelic Society to play in improveing psychedelic public health and safety?,39,Q29_PC1,40,100.00%,Education & Public Awareness,"Providing accurate, accessible, and widespread information about psychedelics, risks, and harm reduction",6,Professional and Ethical Education,"role of teaching members how to vet facilitators, recognize red flags, and understand the ethical principles of psychedelic practice",35,87.50%,,,,,,,
What role would you like your Psychedelic Society to play in improveing psychedelic public health and safety?,39,Q29_PC2,40,100.00%,Internal Community Infrastructure,role of a psychedelic society in building and sustaining a supportive network for its members,1,Building Supportive Community,"providing a safe, consistent space for people to gather, share wisdom, ask questions, and offer mutual support",40,100.00%,,,,,,,
What role would you like your Psychedelic Society to play in improveing psychedelic public health and safety?,39,Q29_PC2,40,100.00%,Internal Community Infrastructure,role of a psychedelic society in building and sustaining a supportive network for its members,2,Collaboration with External Institutions,"role of societies in partnering with other organizations, institutions, and communities to amplify impact",32,80.00%,,,,,,,
What role would you like your Psychedelic Society to play in improveing psychedelic public health and safety?,39,Q29_PC2,40,100.00%,Internal Community Infrastructure,role of a psychedelic society in building and sustaining a supportive network for its members,3,Survivor & Accountability Support,"Networks for reporting harm, addressing misconduct, and supporting healing",30,75.00%,,,,,,,
What role would you like your Psychedelic Society to play in improveing psychedelic public health and safety?,39,Q29_PC2,40,100.00%,Internal Community Infrastructure,role of a psychedelic society in building and sustaining a supportive network for its members,4,Facilitator and Peer Training,role of societies in training members to increase the number of knowledgeable individuals in the ecosystem,36,90.00%,,,,,,,
What role would you like your Psychedelic Society to play in improveing psychedelic public health and safety?,39,Q29_PC3,35,87.50%,Advocacy & Policy Reform,Using collective influence to change laws and reduce systemic harms,1,Legal and Regulatory Reform,role of a society in advocating for policy changes to move the culture out of the underground,27,77.14%,,,,,,,
What role would you like your Psychedelic Society to play in improveing psychedelic public health and safety?,39,Q29_PC3,35,87.50%,Advocacy & Policy Reform,Using collective influence to change laws and reduce systemic harms,2,Influencing Public Discourse,"influencing policy makers and the broader public through conversation, collaboration, and education",32,91.43%,,,,,,,
What role would you like your SSDP Chapter to play in improving psychedelic public health and safety?,4,Q29_SSDP_PC1,4,80.00%,Education & Harm Reduction Awareness,"SSDP chapter as a hub for direct, on-the-ground education and public health services",1,Workshops & Seminars,"Hosting sessions on dosage, set & setting, drug interactions, and managing difficult experiences",2,50.00%,,,,,,,
What role would you like your SSDP Chapter to play in improving psychedelic public health and safety?,4,Q29_SSDP_PC1,4,80.00%,Education & Harm Reduction Awareness,"SSDP chapter as a hub for direct, on-the-ground education and public health services",2,Accessible Resources,"Pamphlets, online guides, and awareness campaigns that share safety knowledge.",3,75.00%,,,,,,,
What role would you like your SSDP Chapter to play in improving psychedelic public health and safety?,4,Q29_SSDP_PC1,4,80.00%,Education & Harm Reduction Awareness,"SSDP chapter as a hub for direct, on-the-ground education and public health services",3,Partnerships with Harm Reduction Orgs,Collaborating with groups like DanceSafe or Zendo to provide test kits and safety resources,1,25.00%,,,,,,,
What role would you like your SSDP Chapter to play in improving psychedelic public health and safety?,4,Q29_SSDP_PC2,5,100.00%,Community Building & Membership Growth,"Creating a consistent, supportive SSDP campus community",1,Gathering Students & Users,"Bringing psychedelic users together to share experiences, risks, and resources",4,80.00%,,,,,,,
What role would you like your SSDP Chapter to play in improving psychedelic public health and safety?,4,Q29_SSDP_PC2,5,100.00%,Community Building & Membership Growth,"Creating a consistent, supportive SSDP campus community",2,Local Knowledge Sharing,Exchanging practical tips like which head shops or products to avoid,3,60.00%,,,,,,,
What role would you like your SSDP Chapter to play in improving psychedelic public health and safety?,4,Q29_SSDP_PC2,5,100.00%,Community Building & Membership Growth,"Creating a consistent, supportive SSDP campus community",3,Strong Membership Base,Building sustainable participation to support long-term advocacy and events,2,40.00%,,,,,,,
What role would you like your SSDP Chapter to play in improving psychedelic public health and safety?,4,Q29_SSDP_PC3,5,100.00%,Policy Advocacy & Legal Reform,SSDP chapters as voices for systemic change to improve safety,1,Decriminalization Advocacy,Engaging with officials to push for decrim or deprioritization of psychedelics,3,60.00%,,,,,,,
What role would you like your SSDP Chapter to play in improving psychedelic public health and safety?,4,Q29_SSDP_PC3,5,100.00%,Policy Advocacy & Legal Reform,SSDP chapters as voices for systemic change to improve safety,2,Regulation of Head Shop Psychedelics,Advocating for oversight of unregulated products sold in shops,3,60.00%,,,,,,,
What role would you like your SSDP Chapter to play in improving psychedelic public health and safety?,4,Q29_SSDP_PC3,5,100.00%,Policy Advocacy & Legal Reform,SSDP chapters as voices for systemic change to improve safety,3,Public Policy Engagement,Working with city and state leaders to reduce harms from prohibition,3,60.00%,,,,,,,
What role would you like the Global Psychedelic Society to play in improving psychedelic public health and safety?,39,Q30_PC1,38,95.00%,Education & Resource Dissemination,"GPS as a central hub for distributing clear, accessible, and evidence-based information on psychedelic safety, ethics, and harm reduction.",1,Educational Materials & Campaigns,"Providing easy-to-read safety guidelines, public health campaigns, teen/young adult education, and visual toolkits for societies to adapt",33,86.84%,,,,,,,
What role would you like the Global Psychedelic Society to play in improving psychedelic public health and safety?,39,Q30_PC1,38,95.00%,Education & Resource Dissemination,"GPS as a central hub for distributing clear, accessible, and evidence-based information on psychedelic safety, ethics, and harm reduction.",2,Centralized Resource Repository,"Maintaining an online library of trusted guidelines, manuals, and courses",16,42.11%,,,,,,,
What role would you like the Global Psychedelic Society to play in improving psychedelic public health and safety?,39,Q30_PC1,38,95.00%,Education & Resource Dissemination,"GPS as a central hub for distributing clear, accessible, and evidence-based information on psychedelic safety, ethics, and harm reduction.",3,Accessibility & Translation,Ensuring resources are available in multiple languages and culturally adapted to local contexts,4,10.53%,,,,,,,
What role would you like the Global Psychedelic Society to play in improving psychedelic public health and safety?,39,Q30_PC1,38,95.00%,Education & Resource Dissemination,"GPS as a central hub for distributing clear, accessible, and evidence-based information on psychedelic safety, ethics, and harm reduction.",4,Standardized Training Programs,"Offering GPS-level facilitator, integration, testing, and trip-sitting trainings.",16,42.11%,,,,,,,
What role would you like the Global Psychedelic Society to play in improving psychedelic public health and safety?,39,Q30_PC2,39,97.50%,Global Standards & Ethical Frameworks,"Establishing consistent, globally recognized guidelines for safety, ethics, and facilitator conduct",1,Ethics & Safety Standard,"Creating gold standards for harm reduction, integration, and ethical facilitation",35,89.74%,,,,,,,
What role would you like the Global Psychedelic Society to play in improving psychedelic public health and safety?,39,Q30_PC2,39,97.50%,Global Standards & Ethical Frameworks,"Establishing consistent, globally recognized guidelines for safety, ethics, and facilitator conduct",2,Frameworks for Local Societies,"Providing adaptable templates for health/safety protocols, event guidelines, and organizational structures",20,51.28%,,,,,,,
What role would you like the Global Psychedelic Society to play in improving psychedelic public health and safety?,39,Q30_PC2,39,97.50%,Global Standards & Ethical Frameworks,"Establishing consistent, globally recognized guidelines for safety, ethics, and facilitator conduct",3,Accountability & Oversight,"Supporting inter-society dialogue on accountability, red flags, and conflict resolution",30,76.92%,,,,,,,
What role would you like the Global Psychedelic Society to play in improving psychedelic public health and safety?,39,Q30_PC3,36,90.00%,Community Building & Networking,"Strengthening bonds between local societies through global connection, peer exchange, and collaborative projects.",1,Global Connectivity,"Hosting GPS meetings, online forums, and events to connect leaders and members worldwide",14,38.89%,,,,,,,
What role would you like the Global Psychedelic Society to play in improving psychedelic public health and safety?,39,Q30_PC3,36,90.00%,Community Building & Networking,"Strengthening bonds between local societies through global connection, peer exchange, and collaborative projects.",2,Peer-to-Peer Exchange,"Sharing best practices, red flags, and lessons learned between societies.",26,72.22%,,,,,,,
What role would you like the Global Psychedelic Society to play in improving psychedelic public health and safety?,39,Q30_PC3,36,90.00%,Community Building & Networking,"Strengthening bonds between local societies through global connection, peer exchange, and collaborative projects.",3,Support for Local Chapters,"Providing mentorship, speaker endorsements, admin templates, and encouragement for new organizers",20,55.56%,,,,,,,
What role would you like the Global Psychedelic Society to play in improving psychedelic public health and safety?,39,Q30_PC3,36,90.00%,Community Building & Networking,"Strengthening bonds between local societies through global connection, peer exchange, and collaborative projects.",4,Inclusivity & Representation,Ensuring marginalized groups are included in global discussions.,9,25.00%,,,,,,,
What role would you like the Global Psychedelic Society to play in improving psychedelic public health and safety?,39,Q30_PC3,36,90.00%,Community Building & Networking,"Strengthening bonds between local societies through global connection, peer exchange, and collaborative projects.",5,Infrastructure & Organizational Support,"Helping local psychedelic societies build sustainable, functional organizations",15,41.67%,,,,,,,
What role would you like the Global Psychedelic Society to play in improving psychedelic public health and safety?,39,Q30_PC4,18,45.00%,Policy Advocacy & Law Reform,Using GPS’s global presence to influence laws and policies around psychedelic safety and access,1,Decriminalization & Legal Reform,"Advocating internationally (e.g., EU, UN) and nationally for decriminalization and legalization",9,50.00%,,,,,,,
What role would you like the Global Psychedelic Society to play in improving psychedelic public health and safety?,39,Q30_PC4,18,45.00%,Policy Advocacy & Law Reform,Using GPS’s global presence to influence laws and policies around psychedelic safety and access,2,Policy Collaboration,"Working with governments, public health agencies, and local officials to shape safer regulations",9,50.00%,,,,,,,
What role would you like the Global Psychedelic Society to play in improving psychedelic public health and safety?,39,Q30_PC4,18,45.00%,Policy Advocacy & Law Reform,Using GPS’s global presence to influence laws and policies around psychedelic safety and access,3,Political Leadership,Acting as a lobbying body for systemic change beyond the local level,5,27.78%,,,,,,,
What role would you like the SSDP to play in improving psychedelic public health and safety?,4,Q30_SSDP_PC1,5,100.00%,Policy Advocacy & Legal Reform,SSDP as an active political and legal advocate for safer psychedelic policy,1,Regulation of Head Shop Products,Advocating for oversight of unregulated commercial psychedelic products,3,60.00%,,,,,,,
What role would you like the SSDP to play in improving psychedelic public health and safety?,4,Q30_SSDP_PC1,5,100.00%,Policy Advocacy & Legal Reform,SSDP as an active political and legal advocate for safer psychedelic policy,2,Policy Proposals & Political Interface,"Submitting proposals, lobbying, and serving as a bridge between communities, scientists, and government representatives",4,80.00%,,,,,,,
What role would you like the SSDP to play in improving psychedelic public health and safety?,4,Q30_SSDP_PC1,5,100.00%,Policy Advocacy & Legal Reform,SSDP as an active political and legal advocate for safer psychedelic policy,3,Protecting Science & Research,Advocating against restrictive scheduling that harms psychedelic research,2,40.00%,,,,,,,
What role would you like the SSDP to play in improving psychedelic public health and safety?,4,Q30_SSDP_PC2,5,100.00%,Public Education & Awareness,"SSDP as a hub for science-based, accessible, and stigma-free psychedelic education.",1,Harm Reduction & Safer Use Infrastructure,SSDP as a promoter of practical harm reduction strategies for recreational and therapeutic psychedelic use,5,100.00%,,,,,,,
What role would you like the SSDP to play in improving psychedelic public health and safety?,4,Q30_SSDP_PC2,5,100.00%,Public Education & Awareness,"SSDP as a hub for science-based, accessible, and stigma-free psychedelic education.",2,Events & Forums,"Hosting workshops, lectures, and info sessions both on-campus and in public forums.",3,60.00%,,,,,,,
What role would you like the SSDP to play in improving psychedelic public health and safety?,4,Q30_SSDP_PC2,5,100.00%,Public Education & Awareness,"SSDP as a hub for science-based, accessible, and stigma-free psychedelic education.",3,Science-Backed Information Dissemination,"Ensuring information provided is evidence-based, up-to-date, and accessible to the public.",4,80.00%,,,,,,,
"Is there anything else you would like to share with us about psychedelic risks, safety, harm reduction, or your organization's needs with these matters?",28,Q31_PC1,35,87.50%,Access & Affordability,"Challenges with equitable access to psychedelic safety, training, and education resources",1,Affordable Training & Education,"Concerns about high costs of facilitator or safety training programs; desire for low-barrier, accessible learning",9,25.71%,,,,,,,
"Is there anything else you would like to share with us about psychedelic risks, safety, harm reduction, or your organization's needs with these matters?",28,Q31_PC1,35,87.50%,Access & Affordability,"Challenges with equitable access to psychedelic safety, training, and education resources",2,Barrier-Free Psychedelics,"Calls to keep psychedelics accessible to communities, not just elite or profit-driven institutions",23,65.71%,,,,,,,
"Is there anything else you would like to share with us about psychedelic risks, safety, harm reduction, or your organization's needs with these matters?",28,Q31_PC1,35,87.50%,Access & Affordability,"Challenges with equitable access to psychedelic safety, training, and education resources",3,Risks of Unsafe Substances & Commercial Products,Concern about proliferation of “fake psychedelics” being marketed and consumed without transparency,25,71.43%,,,,,,,
"Is there anything else you would like to share with us about psychedelic risks, safety, harm reduction, or your organization's needs with these matters?",28,Q31_PC2,40,100.00%,Specialized and Comprehensive Care,"need for more nuanced, holistic, and professional forms of support that go beyond basic harm reduction",1,Integration of Mental Health Services,need to connect psychedelic support with professional mental health care,21,52.50%,,,,,,,
"Is there anything else you would like to share with us about psychedelic risks, safety, harm reduction, or your organization's needs with these matters?",28,Q31_PC2,40,100.00%,Specialized and Comprehensive Care,"need for more nuanced, holistic, and professional forms of support that go beyond basic harm reduction",2,Accountability and Survivor Support,"need for well-publicized reporting avenues and robust, long-term support for those who have experienced harm",25,62.50%,,,,,,,
"Is there anything else you would like to share with us about psychedelic risks, safety, harm reduction, or your organization's needs with these matters?",28,Q31_PC2,40,100.00%,Specialized and Comprehensive Care,"need for more nuanced, holistic, and professional forms of support that go beyond basic harm reduction",3,Addressing Specific Risks and Populations,need for harm reduction that is tailored to specific risks,39,97.50%,,,,,,,
"Is there anything else you would like to share with us about psychedelic risks, safety, harm reduction, or your organization's needs with these matters?",28,Q31_PC2,40,100.00%,Specialized and Comprehensive Care,"need for more nuanced, holistic, and professional forms of support that go beyond basic harm reduction",4,Prohibition as a Safety Risk,Recognition that illegality drives unsafe practices and black-market risks,24,60.00%,,,,,,,
"Is there anything else you would like to share with us about psychedelic risks, safety, harm reduction, or your organization's needs with these matters?",28,Q31_PC3,40,100.00%,Education & Cultural Shift,"Expanding awareness, improving messaging, and shifting culture around psychedelic safety",1,Proactive Safety Culture,"Promoting skills and confidence through positive culture-building, not fear tactics",39,97.50%,,,,,,,
"Is there anything else you would like to share with us about psychedelic risks, safety, harm reduction, or your organization's needs with these matters?",28,Q31_PC3,40,100.00%,Education & Cultural Shift,"Expanding awareness, improving messaging, and shifting culture around psychedelic safety",2,Reducing Stigma,"Emphasis on normalizing conversations to avoid shame, secrecy, or fear of legal consequences",24,60.00%,,,,,,,
"Is there anything else you would like to share with us about psychedelic risks, safety, harm reduction, or your organization's needs with these matters?",28,Q31_PC3,40,100.00%,Education & Cultural Shift,"Expanding awareness, improving messaging, and shifting culture around psychedelic safety",3,Public & Cross-Society Learning,Desire to share solutions and lessons across psychedelic societies internationally,29,72.50%,,,,,,,
